game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,Predicted_Win,Predicted_Probability
2025_01_DAL_PHI,2025,REG,1,2025-09-04,Thursday,20:20,DAL,,PHI,,Home,,,,2025090400,,,202509040phi,,,,7,7,260.0,-325.0,7.0,-110.0,-110.0,46.5,-110.0,-110.0,1,outdoors,grass,,,,,,,Brian Schottenheimer,Nick Sirianni,,PHI00,Lincoln Financial Field,1,0.98978066
2025_01_KC_LAC,2025,REG,1,2025-09-05,Friday,20:00,KC,,LAC,,Neutral,,,,2025090500,,,202509050sdg,,,,7,7,-148.0,124.0,-3.0,-105.0,-115.0,44.5,-110.0,-110.0,1,dome,matrixturf,,,,,,,Andy Reid,Jim Harbaugh,,LAX01,SoFi Stadium,1,0.84267426
2025_01_TB_ATL,2025,REG,1,2025-09-07,Sunday,13:00,TB,,ATL,,Home,,,,2025090700,,,202509070atl,,,,7,7,-125.0,105.0,-1.5,-115.0,-105.0,48.5,-110.0,-110.0,1,closed,fieldturf,,,,,,,Todd Bowles,Raheem Morris,,ATL97,Mercedes-Benz Stadium,0,0.010937575
2025_01_CIN_CLE,2025,REG,1,2025-09-07,Sunday,13:00,CIN,,CLE,,Home,,,,2025090701,,,202509070cle,,,,7,7,-250.0,200.0,-5.5,-110.0,-110.0,45.5,-110.0,-110.0,1,outdoors,grass,,,,,,,Zac Taylor,Kevin Stefanski,,CLE00,FirstEnergy Stadium,0,0.0009924694
2025_01_MIA_IND,2025,REG,1,2025-09-07,Sunday,13:00,MIA,,IND,,Home,,,,2025090702,,,202509070clt,,,,7,7,-105.0,-115.0,1.5,-115.0,-105.0,45.5,-110.0,-110.0,0,closed,fieldturf,,,,,,,Mike McDaniel,Shane Steichen,,IND00,Lucas Oil Stadium,0,0.49995494
2025_01_CAR_JAX,2025,REG,1,2025-09-07,Sunday,13:00,CAR,,JAX,,Home,,,,2025090703,,,202509070jax,,,,7,7,125.0,-150.0,2.5,100.0,-120.0,46.5,-110.0,-110.0,0,outdoors,grass,,,,,,,Dave Canales,Liam Coen,,JAX00,TIAA Bank Stadium,0,0.23477803
2025_01_LV_NE,2025,REG,1,2025-09-07,Sunday,13:00,LV,,NE,,Home,,,,2025090704,,,202509070nwe,,,,7,7,130.0,-155.0,2.5,100.0,-120.0,42.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Pete Carroll,Mike Vrabel,,BOS00,Gillette Stadium,1,0.99628615
2025_01_ARI_NO,2025,REG,1,2025-09-07,Sunday,13:00,ARI,,NO,,Home,,,,2025090705,,,202509070nor,,,,7,7,-210.0,170.0,-4.5,-115.0,-105.0,41.5,-102.0,-118.0,0,dome,sportturf,,,,,,,Jonathan Gannon,Kellen Moore,,NOR00,Mercedes-Benz Superdome,0,0.0014857627
2025_01_PIT_NYJ,2025,REG,1,2025-09-07,Sunday,13:00,PIT,,NYJ,,Home,,,,2025090706,,,202509070nyj,,,,7,7,-155.0,130.0,-3.0,-110.0,-110.0,39.5,-110.0,-110.0,0,outdoors,fieldturf,,,,,,,Mike Tomlin,Aaron Glenn,,NYC01,MetLife Stadium,1,0.9921434
2025_01_NYG_WAS,2025,REG,1,2025-09-07,Sunday,13:00,NYG,,WAS,,Home,,,,2025090707,,,202509070was,,,,7,7,260.0,-325.0,7.0,-110.0,-110.0,45.5,-110.0,-110.0,1,outdoors,grass,,,,,,,Brian Daboll,Dan Quinn,,WAS00,FedExField,1,0.99978226
